Timestamp,Session_Time_Seconds,Attention_State,Identity_Status,Sound_Detected,Sound_Level,Head_Yaw,Head_Pitch,Gaze_X,Gaze_Y,Eye_Aspect_Ratio,Confidence
2025-12-15T15:57:09.481907,12.586954,UNKNOWN,VERIFIED,True,0.0019690870567501406,-3.4345276907325095,148.8404664479286,0.5161098658462929,0.2579446125899925,0.30135257126072973,0.0
2025-12-15T15:57:11.450457,14.555504,UNKNOWN,VERIFIED,False,0.002446253953166888,20.1989436564093,11.199300991389173,0.4414249274910342,0.2977920274657473,0.30860872435813225,0.9880145754380855
2025-12-15T15:57:13.448349,16.553396,UNKNOWN,VERIFIED,True,0.004808658893125539,12.266182859971344,56.45148133335639,0.48965872082211626,0.2691336086611751,0.28338913789701364,0.9880145754380855
2025-12-15T15:57:15.467477,18.572524,UNKNOWN,VERIFIED,False,0.0018082555761793628,8.12274665215634,79.1527412399408,0.4337351019355886,0.2812078011226319,0.31673386667064884,0.9880145754380855
2025-12-15T15:57:17.457732,20.562779,UNKNOWN,VERIFIED,True,0.007415988644061145,6.922388893069071,92.19001504959637,0.5736115646233069,0.4803585469628086,0.20111293704821115,0.9780773878774951
2025-12-15T15:57:19.454076,22.559123,INATTENTIVE,VERIFIED,True,0.007926923941704444,5.1768469340709,100.97837145974681,0.5195257310150334,0.4117835826280614,0.19415497087773753,0.9780773878774951
2025-12-15T15:57:21.468604,24.573651,INATTENTIVE,VERIFIED,True,0.005908832424938737,4.837078480398323,107.05284701646558,0.5511145309229374,0.24025813256789197,0.23438286757705445,0.9780773878774951
2025-12-15T15:57:23.458824,26.563871,INATTENTIVE,NO FACE,True,0.005225577183045971,10.03147896222764,108.30377432008045,0.5708644748816845,0.29001122037570776,0.29889629878118096,0.9780773878774951
2025-12-15T15:57:25.438190,28.543237,INATTENTIVE,NO FACE,True,0.025896827421456693,0.0,0.0,0.0,0.0,0.0,0.9780773878774951
2025-12-15T15:57:27.484067,30.589114,INATTENTIVE,NO FACE,True,0.011744506820105017,3.570293944107225,146.96817519290934,0.5097224296880434,0.24174057001358668,0.29814191519505306,0.9780773878774951
2025-12-15T15:57:29.451437,32.556484,INATTENTIVE,VERIFIED,True,0.005953001137822866,5.512157188471192,147.32073040926701,0.5536712983666923,0.22411614270805258,0.3006203952614147,0.7675296241397856
2025-12-15T15:57:31.454145,34.559192,INATTENTIVE,VERIFIED,True,0.012840954400599004,6.064574891405208,146.6525203616714,0.47959565654486563,0.23653307515964905,0.27371768371941174,0.7675296241397856
2025-12-15T15:57:33.474984,36.580031,INATTENTIVE,VERIFIED,True,0.005943990065316029,5.248207267073256,146.3408919934322,0.4577145310973286,0.2788235029640912,0.28864717926894645,0.7675296241397856
2025-12-15T15:57:35.444543,38.54959,INATTENTIVE,VERIFIED,True,0.0042414951567479875,5.23138337586328,146.22016048932804,0.4639544532877322,0.24964470985293324,0.3079000256269149,0.9280158632834641
2025-12-15T15:57:37.457054,40.562101,INATTENTIVE,VERIFIED,False,0.0008290533183753723,4.841197271988151,144.81966592906272,0.4669815792805264,0.25015287539528086,0.3125379790919314,0.9280158632834641
2025-12-15T15:57:39.457533,42.56258,INATTENTIVE,VERIFIED,True,0.005764734731928911,0.0,0.0,0.0,0.0,0.0,0.9280158632834641
2025-12-15T15:57:41.463159,44.568206,INATTENTIVE,VERIFIED,True,0.016001835610950366,-0.7945783305404042,143.27678379316922,0.44831964931928214,0.24620053122383354,0.3024885277732031,0.9019001401900009
2025-12-15T15:57:43.446844,46.551891,INATTENTIVE,VERIFIED,True,0.00715474575990811,-1.4471525335898046,143.4746735759015,0.4451367795625741,0.23946637213380695,0.2836584078042267,0.9019001401900009
2025-12-15T15:57:45.534082,48.639129,INATTENTIVE,VERIFIED,False,0.0014073929321057222,-3.622618882248389,143.06452645637592,0.454284621199478,0.16569618996877383,0.2555478981642202,0.9019001401900009
2025-12-15T15:57:47.446787,50.551834,INATTENTIVE,VERIFIED,True,0.006487055757861526,-4.39381861097591,143.70017492878114,0.46449732660921056,0.19392062749300276,0.29889682770928633,0.9362316851309413
2025-12-15T15:57:49.464795,52.569842,INATTENTIVE,VERIFIED,True,0.012897870916640386,-4.502877594235626,144.10872681350912,0.5663721894735584,0.26660194760779554,0.27775642214152174,0.9362316851309413
2025-12-15T15:57:51.466427,54.571474,INATTENTIVE,VERIFIED,True,0.010070471229846589,-4.09612859032748,144.53543922104856,0.4276774595969838,0.2958728858439379,0.32647491826420266,0.9362316851309413
2025-12-15T15:57:53.457132,56.562179,INATTENTIVE,VERIFIED,True,0.01581129152327776,-5.331254160516514,145.6125420504936,0.494683381319981,0.24175257322185376,0.28260103431573247,0.955128358809922
